Res_prop	P	Cell_range	Effect	Method	PANEL	COORD	group	AUROC
Prop_0.25	10	Low	0.00025	DiD Baseline	1	1	-1	0.819351851851852
Prop_0.25	10	Low	0.00025	MIMOSA2	1	1	-1	0.857291666666667
Prop_0.25	10	Low	5e-04	DiD Baseline	1	1	-1	0.842638888888889
Prop_0.25	10	Low	5e-04	MIMOSA2	1	1	-1	0.858287037037037
Prop_0.25	10	Low	0.001	DiD Baseline	1	1	-1	0.882013888888889
Prop_0.25	10	Low	0.001	MIMOSA2	1	1	-1	0.933287037037038
Prop_0.25	20	High	6.25e-05	DiD Baseline	1	1	-1	0.858715277777778
Prop_0.25	20	High	6.25e-05	MIMOSA2	1	1	-1	0.88136574074074
Prop_0.25	20	High	0.000125	DiD Baseline	1	1	-1	0.882447916666667
Prop_0.25	20	High	0.000125	MIMOSA2	1	1	-1	0.906539351851851
Prop_0.25	20	High	0.00025	DiD Baseline	1	1	-1	0.892615740740741
Prop_0.25	20	High	0.00025	MIMOSA2	1	1	-1	0.924126157407408
Prop_0.25	20	High	5e-04	DiD Baseline	1	1	-1	0.871898148148148
Prop_0.25	20	High	5e-04	MIMOSA2	1	1	-1	0.932465277777778
Prop_0.25	20	High	0.001	DiD Baseline	1	1	-1	0.917326388888889
Prop_0.25	20	High	0.001	MIMOSA2	1	1	-1	0.959074074074074
Prop_0.25	20	Medium	6.25e-05	DiD Baseline	1	1	-1	0.835277777777778
Prop_0.25	20	Medium	6.25e-05	MIMOSA2	1	1	-1	0.843049768518518
Prop_0.25	20	Medium	0.000125	DiD Baseline	1	1	-1	0.816956018518519
Prop_0.25	20	Medium	0.000125	MIMOSA2	1	1	-1	0.857812499999999
Prop_0.25	20	Medium	0.00025	DiD Baseline	1	1	-1	0.817337962962963
Prop_0.25	20	Medium	0.00025	MIMOSA2	1	1	-1	0.875648148148149
Prop_0.25	20	Medium	5e-04	DiD Baseline	1	1	-1	0.895237268518519
Prop_0.25	20	Medium	5e-04	MIMOSA2	1	1	-1	0.925752314814815
Prop_0.25	20	Medium	0.001	DiD Baseline	1	1	-1	0.904328703703704
Prop_0.25	20	Medium	0.001	MIMOSA2	1	1	-1	0.953755787037037
Prop_0.25	20	Low	6.25e-05	DiD Baseline	1	1	-1	0.733327546296296
Prop_0.25	20	Low	6.25e-05	MIMOSA2	1	1	-1	0.772152777777778
Prop_0.25	20	Low	0.000125	DiD Baseline	1	1	-1	0.792696759259259
Prop_0.25	20	Low	0.000125	MIMOSA2	1	1	-1	0.804936342592593
Prop_0.25	20	Low	0.00025	DiD Baseline	1	1	-1	0.752118055555556
Prop_0.25	20	Low	0.00025	MIMOSA2	1	1	-1	0.805868055555555
Prop_0.25	20	Low	5e-04	DiD Baseline	1	1	-1	0.773263888888889
Prop_0.25	20	Low	5e-04	MIMOSA2	1	1	-1	0.82851273148148
Prop_0.25	20	Low	0.001	DiD Baseline	1	1	-1	0.844456018518519
Prop_0.25	20	Low	0.001	MIMOSA2	1	1	-1	0.90920138888889
Prop_0.25	30	High	6.25e-05	DiD Baseline	1	1	-1	0.876177777777778
Prop_0.25	30	High	6.25e-05	MIMOSA2	1	1	-1	0.918897222222223
Prop_0.25	30	High	0.000125	DiD Baseline	1	1	-1	0.851844444444444
Prop_0.25	30	High	0.000125	MIMOSA2	1	1	-1	0.900069444444445
Prop_0.25	30	High	0.00025	DiD Baseline	1	1	-1	0.896672222222222
Prop_0.25	30	High	0.00025	MIMOSA2	1	1	-1	0.922024999999999
Prop_0.25	30	High	5e-04	DiD Baseline	1	1	-1	0.912763888888889
Prop_0.25	30	High	5e-04	MIMOSA2	1	1	-1	0.950872222222223
Prop_0.25	30	High	0.001	DiD Baseline	1	1	-1	0.910769444444444
Prop_0.25	30	High	0.001	MIMOSA2	1	1	-1	0.957905555555557
Prop_0.25	30	Medium	6.25e-05	DiD Baseline	1	1	-1	0.847886111111111
Prop_0.25	30	Medium	6.25e-05	MIMOSA2	1	1	-1	0.852794444444444
Prop_0.25	30	Medium	0.000125	DiD Baseline	1	1	-1	0.846627777777778
Prop_0.25	30	Medium	0.000125	MIMOSA2	1	1	-1	0.877122222222223
Prop_0.25	30	Medium	0.00025	DiD Baseline	1	1	-1	0.880863888888889
Prop_0.25	30	Medium	0.00025	MIMOSA2	1	1	-1	0.907561111111112
Prop_0.25	30	Medium	5e-04	DiD Baseline	1	1	-1	0.885155555555555
Prop_0.25	30	Medium	5e-04	MIMOSA2	1	1	-1	0.93793611111111
Prop_0.25	30	Medium	0.001	DiD Baseline	1	1	-1	0.892044444444444
Prop_0.25	30	Medium	0.001	MIMOSA2	1	1	-1	0.948788888888888
Prop_0.25	30	Low	6.25e-05	DiD Baseline	1	1	-1	0.757419444444444
Prop_0.25	30	Low	6.25e-05	MIMOSA2	1	1	-1	0.791150000000001
Prop_0.25	30	Low	0.000125	DiD Baseline	1	1	-1	0.751113888888889
Prop_0.25	30	Low	0.000125	MIMOSA2	1	1	-1	0.777222222222223
Prop_0.25	30	Low	0.00025	DiD Baseline	1	1	-1	0.789794444444444
Prop_0.25	30	Low	0.00025	MIMOSA2	1	1	-1	0.826555555555557
Prop_0.25	30	Low	5e-04	DiD Baseline	1	1	-1	0.795866666666667
Prop_0.25	30	Low	5e-04	MIMOSA2	1	1	-1	0.830836111111114
Prop_0.25	30	Low	0.001	DiD Baseline	1	1	-1	0.834677777777778
Prop_0.25	30	Low	0.001	MIMOSA2	1	1	-1	0.909630555555556
Prop_0.25	50	High	6.25e-05	DiD Baseline	1	1	-1	0.89582561728395
Prop_0.25	50	High	6.25e-05	MIMOSA2	1	1	-1	0.921177248677249
Prop_0.25	50	High	0.000125	DiD Baseline	1	1	-1	0.878390652557319
Prop_0.25	50	High	0.000125	MIMOSA2	1	1	-1	0.914430114638448
Prop_0.25	50	High	0.00025	DiD Baseline	1	1	-1	0.891502425044091
Prop_0.25	50	High	0.00025	MIMOSA2	1	1	-1	0.933886684303352
Prop_0.25	50	High	5e-04	DiD Baseline	1	1	-1	0.919436728395062
Prop_0.25	50	High	5e-04	MIMOSA2	1	1	-1	0.950313051146386
Prop_0.25	50	High	0.001	DiD Baseline	1	1	-1	0.921139770723104
Prop_0.25	50	High	0.001	MIMOSA2	1	1	-1	0.961643518518518
Prop_0.25	50	Medium	6.25e-05	DiD Baseline	1	1	-1	0.842994929453263
Prop_0.25	50	Medium	6.25e-05	MIMOSA2	1	1	-1	0.874542548500882
Prop_0.25	50	Medium	0.000125	DiD Baseline	1	1	-1	0.844729938271605
Prop_0.25	50	Medium	0.000125	MIMOSA2	1	1	-1	0.889264770723104
Prop_0.25	50	Medium	0.00025	DiD Baseline	1	1	-1	0.891764770723104
Prop_0.25	50	Medium	0.00025	MIMOSA2	1	1	-1	0.911255511463845
Prop_0.25	50	Medium	5e-04	DiD Baseline	1	1	-1	0.877031525573192
Prop_0.25	50	Medium	5e-04	MIMOSA2	1	1	-1	0.929250440917108
Prop_0.25	50	Medium	0.001	DiD Baseline	1	1	-1	0.903513007054673
Prop_0.25	50	Medium	0.001	MIMOSA2	1	1	-1	0.947465828924163
Prop_0.25	50	Low	6.25e-05	DiD Baseline	1	1	-1	0.736740520282187
Prop_0.25	50	Low	6.25e-05	MIMOSA2	1	1	-1	0.773091931216932
Prop_0.25	50	Low	0.000125	DiD Baseline	1	1	-1	0.755812389770723
Prop_0.25	50	Low	0.000125	MIMOSA2	1	1	-1	0.791290784832451
Prop_0.25	50	Low	0.00025	DiD Baseline	1	1	-1	0.802009479717813
Prop_0.25	50	Low	0.00025	MIMOSA2	1	1	-1	0.826931216931218
Prop_0.25	50	Low	5e-04	DiD Baseline	1	1	-1	0.828287037037037
Prop_0.25	50	Low	5e-04	MIMOSA2	1	1	-1	0.852073412698411
Prop_0.25	50	Low	0.001	DiD Baseline	1	1	-1	0.872030423280423
Prop_0.25	50	Low	0.001	MIMOSA2	1	1	-1	0.919203042328042
Prop_0.25	75	High	6.25e-05	DiD Baseline	1	1	-1	0.877876984126984
Prop_0.25	75	High	6.25e-05	MIMOSA2	1	1	-1	0.902372076023392
Prop_0.25	75	High	0.000125	DiD Baseline	1	1	-1	0.864598475355054
Prop_0.25	75	High	0.000125	MIMOSA2	1	1	-1	0.908896198830409
Prop_0.25	75	High	0.00025	DiD Baseline	1	1	-1	0.890639619883041
Prop_0.25	75	High	0.00025	MIMOSA2	1	1	-1	0.929949874686715
Prop_0.25	75	High	5e-04	DiD Baseline	1	1	-1	0.882549603174604
Prop_0.25	75	High	5e-04	MIMOSA2	1	1	-1	0.926535609857979
Prop_0.25	75	High	0.001	DiD Baseline	1	1	-1	0.889085735171261
Prop_0.25	75	High	0.001	MIMOSA2	1	1	-1	0.934402673350045
Prop_0.25	75	Medium	6.25e-05	DiD Baseline	1	1	-1	0.842654553049289
Prop_0.25	75	Medium	6.25e-05	MIMOSA2	1	1	-1	0.874345238095238
Prop_0.25	75	Medium	0.000125	DiD Baseline	1	1	-1	0.847866541353384
