Simulation 321 | MIMOSA2 elapsed = 10.17 sec | status = SUCCESS
Simulation 336 | MIMOSA2 elapsed = 10.77 sec | status = SUCCESS
Simulation 329 | MIMOSA2 elapsed = 11.73 sec | status = SUCCESS
Simulation 327 | MIMOSA2 elapsed = 14.87 sec | status = SUCCESS
Simulation 335 | MIMOSA2 elapsed = 15 sec | status = SUCCESS
Simulation 339 | MIMOSA2 elapsed = 15.45 sec | status = SUCCESS
Simulation 341 | MIMOSA2 elapsed = 8.48 sec | status = SUCCESS
Simulation 328 | MIMOSA2 elapsed = 15.78 sec | status = SUCCESS
Simulation 332 | MIMOSA2 elapsed = 15.96 sec | status = SUCCESS
Simulation 334 | MIMOSA2 elapsed = 15.97 sec | status = SUCCESS
Simulation 333 | MIMOSA2 elapsed = 16.05 sec | status = SUCCESS
Simulation 340 | MIMOSA2 elapsed = 16.23 sec | status = SUCCESS
Simulation 330 | MIMOSA2 elapsed = 16.52 sec | status = SUCCESS
Simulation 337 | MIMOSA2 elapsed = 16.51 sec | status = SUCCESS
Simulation 343 | MIMOSA2 elapsed = 9.22 sec | status = SUCCESS
Simulation 325 | MIMOSA2 elapsed = 17.43 sec | status = SUCCESS
Simulation 346 | MIMOSA2 elapsed = 10.58 sec | status = SUCCESS
Simulation 347 | MIMOSA2 elapsed = 11.08 sec | status = SUCCESS
Simulation 342 | MIMOSA2 elapsed = 14.56 sec | status = SUCCESS
Simulation 348 | MIMOSA2 elapsed = 13.72 sec | status = SUCCESS
Simulation 345 | MIMOSA2 elapsed = 16.46 sec | status = SUCCESS
Simulation 344 | MIMOSA2 elapsed = 17.08 sec | status = SUCCESS
Simulation 353 | MIMOSA2 elapsed = 9.91 sec | status = SUCCESS
Simulation 362 | MIMOSA2 elapsed = 8.94 sec | status = SUCCESS
Simulation 349 | MIMOSA2 elapsed = 15.6 sec | status = SUCCESS
Simulation 363 | MIMOSA2 elapsed = 10.24 sec | status = SUCCESS
Simulation 352 | MIMOSA2 elapsed = 16.1 sec | status = SUCCESS
Simulation 360 | MIMOSA2 elapsed = 15.14 sec | status = SUCCESS
Simulation 351 | MIMOSA2 elapsed = 16.9 sec | status = SUCCESS
Simulation 350 | MIMOSA2 elapsed = 17.05 sec | status = SUCCESS
Simulation 358 | MIMOSA2 elapsed = 15.88 sec | status = SUCCESS
Simulation 357 | MIMOSA2 elapsed = 16.64 sec | status = SUCCESS
Simulation 356 | MIMOSA2 elapsed = 16.97 sec | status = SUCCESS
Simulation 359 | MIMOSA2 elapsed = 16.76 sec | status = SUCCESS
Simulation 361 | MIMOSA2 elapsed = 16.39 sec | status = SUCCESS
Simulation 355 | MIMOSA2 elapsed = 17.56 sec | status = SUCCESS
Simulation 354 | MIMOSA2 elapsed = 19.09 sec | status = SUCCESS
Simulation 364 | MIMOSA2 elapsed = 13.57 sec | status = SUCCESS
Simulation 365 | MIMOSA2 elapsed = 16.53 sec | status = SUCCESS
Simulation 366 | MIMOSA2 elapsed = 16.1 sec | status = SUCCESS
Simulation 367 | MIMOSA2 elapsed = 15.78 sec | status = SUCCESS
Simulation 368 | MIMOSA2 elapsed = 16.64 sec | status = SUCCESS
